Time,State of Charge (MWh),Charge Take from Hourly Market (MWh),Discharge to Hourly market (MWh),Is Charging in Hourly Market,Charge taken from Half Hourly Market (MWh),Discharge to Half Hourly Market (MWh),Is Charging in Half Hourly Market,Current Degradation (MWh),Total Cycles,Hourly Price (£/MWh),Half Hourly Price (£/MWh),Objective Value (£)
115,2.408175485666905,1.0,0.0,1.0,0.0,0.0,1.0,0.0005393723658670917,5.3937236586709165,40.24,44.16,-499431.6953007451
116,2.9385992134829295,0.5583407661221315,0.0,1.0,0.0,0.0,0.0,0.0005463516254436184,5.4635162544361835,41.53,43.72,-499431.6953007451
117,3.469022941298955,0.5583407661221315,0.0,1.0,0.0,0.0,0.0,0.0005533308850201449,5.53330885020145,41.53,45.01,-499431.6953007451
118,3.6458292996379953,0.18611195614635834,0.0,1.0,-0.0,0.0,0.0,0.0005556572844719745,5.556572844719745,42.665,43.46,-499431.6953007451
119,3.8226356579770355,0.18611195614635834,0.0,1.0,0.0,0.0,0.0,0.0005579836839238039,5.579836839238039,42.665,43.07,-499431.6953007451
120,3.8226356579770355,0.0,0.0,-0.0,-0.0,0.0,0.0,0.000557983683923804,5.57983683923804,42.47,43.43,-499431.6953007451
121,3.8226356579770355,-0.0,0.0,0.0,-0.0,0.0,0.0,0.000557983683923804,5.57983683923804,42.47,43.82,-499431.6953007451
122,3.8815705937835947,0.062036774533220124,0.0,1.0,-0.0,0.0,0.0,0.0005587591436054692,5.5875914360546926,43.01,44.24,-499431.6953007451
123,3.940505529590154,0.062036774533220124,0.0,1.0,0.0,0.0,0.0,0.0005595346032871345,5.595346032871345,43.01,43.94,-499431.6953007451
124,3.940505529590154,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0005595346032871345,5.595346032871345,44.925,43.91,-499431.6953007451
125,3.940505529590154,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0005595346032871345,5.595346032871345,44.925,44.08,-499431.6953007451
126,3.940505529590154,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0005595346032871345,5.595346032871345,58.715,50.25,-499431.6953007451
127,3.940505529590154,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0005595346032871345,5.595346032871345,58.715,51.74,-499431.6953007451
128,3.940505529590154,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0005595346032871345,5.595346032871345,66.855,50.68,-499431.6953007451
129,3.940505529590154,0.0,0.0,0.0,0.0,0.0,0.0,0.0005595346032871345,5.595346032871345,66.855,66.99,-499431.6953007451
130,2.940505529590154,0.0,1.0,0.0,0.0,-0.0,0.0,0.0005720346032871346,5.720346032871345,78.32,73.14,-499431.6953007451
131,1.9405055295901539,0.0,1.0,0.0,0.0,-0.0,0.0,0.0005845346032871345,5.845346032871345,78.32,69.96,-499431.6953007451
132,0.9702527647950769,0.0,0.48512638239753847,0.0,0.0,0.48512638239753847,0.0,0.000596662762847073,5.96662762847073,74.19,72.91,-499431.6953007451
133,0.48512638239753847,0.0,0.48512638239753847,0.0,0.0,0.0,0.0,0.0006027268426270422,6.027268426270422,74.19,64.53,-499431.6953007451
134,0.24256319119876923,0.0,0.12128159559938462,0.0,0.0,0.12128159559938462,0.0,0.0006057588825170269,6.057588825170268,59.135,57.9,-499431.6953007451
135,0.12128159559938462,0.0,0.12128159559938462,0.0,-0.0,0.0,-0.0,0.0006072749024620192,6.072749024620191,59.135,48.41,-499431.6953007451
136,0.08085439706625641,0.0,0.04042719853312821,0.0,0.0,0.0,0.0,0.0006077802424436832,6.077802424436832,53.84,47.62,-499431.6953007451
